# 50 random word2vec seed start-pairs (random vector -> nearest word), seed=0
# seed_idx	player1_start	player2_start
0	reminder	sealed
1	ruled	faced
2	begun	paints
3	lied	university
4	diarrhea	romp
5	scattered	rails
6	clinic	groups
7	rehearsal	modular
8	proudly	graphic
9	promptly	boom
10	brief	dried
11	scripted	acquitted
12	tracks	mine
13	previously	paradise
14	vampire	sacked
15	bio	spiral
16	anyone	lodging
17	killing	illness
18	fractured	unlocked
19	temperatures	camping
20	hold	covers
21	plaque	slight
22	rational	medical
23	sailing	clip
24	charts	sessions
25	narrowly	nations
26	ubiquitous	ejected
27	accusations	fan
28	jobless	army
29	nonsense	buddies
30	cinema	speedy
31	evolved	unchanged
32	fiscal	bursting
33	underneath	heralded
34	shortage	manages
35	plaza	logging
36	vegetable	wallet
37	equip	precious
38	exercised	reference
39	longevity	homage
40	raced	toss
41	chilly	sponsors
42	belonging	overcame
43	stir	ingredient
44	accent	split
45	publisher	establishes
46	estate	exiting
47	pesticides	warmth
48	squandered	reset
49	lively	memorabilia
