layer,private_implied,social_implied,E_reward
0,-0.021521583698765712,-0.032859740369789184,-0.021399600290900177
1,-0.00802406568956011,-0.030997146275422827,-0.017748140194422522
2,0.004092365222994654,-0.028047443086021896,-0.01437016563327238
3,0.030641499874400326,-0.01945291969781926,-0.004473237026270116
4,0.07307378893917231,-0.0010699615747685742,0.015335085219998846
5,0.12242377699568278,0.040803190598576664,0.05173217780542907
6,0.17187995047707907,0.07318888782482261,0.08753080891802531
7,0.21547007702530957,0.13442299791450188,0.1437276175273434
8,0.2929408552014644,0.24001945491993587,0.2386628757304164
9,0.3425964227438415,0.28378312295690883,0.2660223513450911
10,0.3787874406093631,0.3713958595533218,0.29981016410647265
11,0.4694235051486354,0.4676227366771653,0.33057093192920456
12,0.5152285542765854,0.4921174579968862,0.34594064061708174
13,0.5034905451488161,0.49813469400492155,0.3401024447566726
14,0.49421898146703924,0.49378158240550957,0.33717360014177816
15,0.500409739356925,0.4919089145618978,0.336136412647284
16,0.5816244289725203,0.5183773112979443,0.3261956734398513
17,0.5795390227557492,0.5236256456730388,0.3289172183821581
18,0.610223044492488,0.5466714421774499,0.30333015664365165
19,0.6185773065995073,0.5568268226486734,0.29959065614352226
20,0.6423402841975621,0.5699635262318162,0.29829566639547805
21,0.6496913385109335,0.5838629552836749,0.29780948449521266
22,0.6647646224756063,0.5992204863865765,0.29752971810895135
23,0.6788306868673442,0.6167516024985286,0.2950111091238424
24,0.6894325587556434,0.6328767175786153,0.2908268095543036
25,0.6973924842732938,0.6461243036489897,0.2944365504786178
26,0.7076560783113636,0.6567238292267111,0.28982086362370324
27,0.7313056142959556,0.6790038797795164,0.282516018544718
28,0.7469355970890644,0.7029386747910766,0.288747954114553
29,0.7700813623800269,0.7589168855713093,0.2989268006366571
30,0.7844413411808637,0.7783821235962307,0.2867489700008313
31,0.8106926043636703,0.8012598763798968,0.25158786772488506
32,0.8636467082161721,0.873426430689722,0.09657026430745257
