layer,theta,c,private_implied,social_implied,theta_tau1.5,c_tau1.5
0,-0.031085180872818974,-0.03590450463984065,-0.021521583698765757,-0.032859740369789135,-0.1251273723918787,-0.09310687322885096
1,0.0030898943499723776,0.004143818580832237,-0.008024065689560022,-0.030997146275422827,-0.10434982445793659,-0.0654577148024256
2,0.03258493207621802,0.038841921819201805,0.004092365222994632,-0.028047443086021983,-0.0857096145872922,-0.04049118750520271
3,0.09477052130635914,0.11237369386020221,0.030641499874400478,-0.01945291969781924,-0.046628076141988696,0.013045972529029438
4,0.1850821550155558,0.2214428745145299,0.07307378893917235,-0.0010699615747685298,0.01961055255500983,0.10011662372472892
5,0.24958379782688098,0.2948313155889202,0.12242377699568292,0.04080319059857673,0.07211600101593525,0.16421065930742432
6,0.30814706198908093,0.3598760365205318,0.1718799504770791,0.07318888782482258,0.11869780123602988,0.22092287798171303
7,0.3491553067533569,0.39756634798478213,0.21547007702530943,0.1344229979145018,0.1585588825069648,0.25996438112719167
8,0.44352768635874507,0.515802356898562,0.2929408552014644,0.24001945491993593,0.3008020693209453,0.42098622373897604
9,0.5036263691119646,0.6095127685388617,0.34259642274384144,0.2837831229569089,0.38464068946234403,0.5350183577168648
10,0.5624547551439427,0.6919693733335857,0.3787874406093632,0.37139585955332216,0.45669498300212175,0.6236046269593212
11,0.5978130120715897,0.7390244102454611,0.46942350514863584,0.46762273667716503,0.5142476079607053,0.691691470839783
12,0.6208547112939401,0.7626806774237258,0.5152285542765852,0.4921174579968863,0.5395463816904019,0.7201682974997218
13,0.6262385857609531,0.7850457964505232,0.5034905451488164,0.49813469400492105,0.549512416631131,0.7731898422325282
14,0.6343183765408724,0.788337441774128,0.4942189814670396,0.4937815824055094,0.5344846527311506,0.760305148304955
15,0.634675991431029,0.789722097159274,0.5004097393569248,0.4919089145618975,0.5292320512395678,0.7592724498975967
16,0.651346056751111,0.812968285343433,0.5816244289725201,0.5183773112979443,0.5753645489459102,0.850348928861767
17,0.6599401050221411,0.8172900567432047,0.5795390227557498,0.5236256456730402,0.5669446949607526,0.8430875397534396
18,0.700759432729174,0.8399414071708733,0.6102230444924885,0.5466714421774501,0.6495251351068339,0.9236292829711635
19,0.7054367027443065,0.8401006561878919,0.6185773065995074,0.5568268226486723,0.6539040345200174,0.9236252896022984
20,0.7072915506209919,0.8422541775901449,0.6423402841975621,0.5699635262318189,0.6579996812846658,0.9230076522810574
21,0.7082406256112179,0.8435832350700855,0.6496913385109329,0.5838629552836703,0.6598136798177391,0.9259494861832991
22,0.7102242037249809,0.8463894966814024,0.6647646224756085,0.599220486386575,0.6616891099102438,0.9277609189195994
23,0.7231601503893051,0.8535129191906157,0.6788306868673446,0.6167516024985259,0.6777444034490532,0.9338588884672895
24,0.7250747028617457,0.8557638111026147,0.6894325587556412,0.6328767175786189,0.6826103165287633,0.9371431349806345
25,0.7301968788279826,0.8583043597903341,0.6973924842732924,0.6461243036489951,0.688757186366565,0.9381730847524092
26,0.7340329811977362,0.8606947896720486,0.707656078311367,0.6567238292267229,0.6929736451533994,0.940428978840892
27,0.7432740546263517,0.8661090849096515,0.7313056142959529,0.6790038797795113,0.7014972647669679,0.9421177982639767
28,0.7467853113374388,0.8700155555689832,0.7469355970890719,0.7029386747910548,0.712597738067004,0.9442942741562138
29,0.7513359219340972,0.8749516035015457,0.7700813623800187,0.758916885571332,0.7275817972655918,0.9481119407271519
30,0.7560122786480182,0.8778833482854245,0.7844413411808631,0.7783821235962416,0.7361005219494601,0.9507165670111861
31,0.7614495103047343,0.8824733150130146,0.81069260436366,0.8012598763798839,0.7399446010764779,0.9534849434228778
32,0.7835962235957654,0.8952133585007965,0.8636467082163508,0.87342643068994,0.7460860624092336,0.9576648412379681
