condition,kind,gap,rep_strength,info_level,flip_model,flip_bayes,lag,anchor_lambda,final_lambda,oracle,mean_overtrust,rmse
gap1.5_moderate_lean,main,1.5,moderate,lean,,10,,0.4389304929083598,0.44878357376466466,0.6923076923076923,0.015515760968694947,12.555574968430346
gap2.0_moderate_lean,main,2.0,moderate,lean,14,5,9,0.4498433932211213,0.4786426317004022,0.7999999999999999,0.10590635848795583,15.296986045786669
gap3.0_moderate_lean,main,3.0,moderate,lean,2,3,-1,0.452346620156926,0.45184518587540046,0.9,0.23443142207482565,21.50337749216493
gap5.0_moderate_lean,main,5.0,moderate,lean,2,2,0,0.4250810294215264,0.47156200541411847,0.9615384615384616,0.34511537798083364,33.77411933714685
gap2.0_faint_lean,rep,2.0,faint,lean,2,5,-3,0.4498433932211213,0.4734381437190081,0.7999999999999999,0.09814427210283595,15.254125934556498
gap2.0_strong_lean,rep,2.0,strong,lean,,5,,0.4472538844197974,0.38724066622768355,0.7999999999999999,0.1958220348760462,17.454227208834205
gap2.0_moderate_self_history,info,2.0,moderate,self_history,14,5,9,0.4498433932211213,0.4837329420666583,0.7999999999999999,0.10013044430120993,15.278026049165716
gap2.0_moderate_summary,info,2.0,moderate,summary,14,5,9,0.4498433932211213,0.445482518440536,0.7999999999999999,0.11517649091509297,15.528529382224775
gap2.0_moderate_full,info,2.0,moderate,full,,5,,0.4498433932211213,0.4565167207060945,0.7999999999999999,0.09561676025804336,15.090917453425135
gap2.0_robust_swaplabels,robust,2.0,moderate,lean,1,5,-4,0.5020779257828399,0.5075417781271884,0.7999999999999999,0.06275117885148536,14.93193541182603
gap2.0_robust_order,robust,2.0,moderate,lean,11,5,6,0.4145451305209655,0.5055106341368011,0.7999999999999999,0.07604450526654581,15.067971713387548
gap2.0_robust_paraphrase,robust,2.0,moderate,lean,14,5,9,0.4546664264515753,0.4869090900466298,0.7999999999999999,0.10346783794942654,15.189066416284314
gap2.0_moderate_no_advisor,sanity,2.0,moderate,no_advisor,,,,,,,,149.61282477467478
