condition,kind,gap,rep_strength,info_level,round,lambda_hat,lambda_lo,lambda_hi,bayes_w,oracle
gap1.5_moderate_lean,main,1.5,moderate,lean,1,0.4389304929083598,0.388898943029017,0.4817685207751203,0.10000000000000002,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,2,0.4913434913645176,0.41983242515087155,0.6038397204686977,0.2151455445654912,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,3,0.34491411554418605,0.2741663847426958,0.42114514672392284,0.28860559395897406,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,4,0.3820796472278164,0.2397174101602038,0.4765379978786327,0.36032864683772614,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,5,0.39476500838394507,0.3417271077072727,0.43971338740989135,0.4108113161694996,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,6,0.4233869202558194,0.2918228563325347,0.5074805665113533,0.43000866848896446,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,7,0.42437685209946097,0.3641536129135177,0.4901613723313948,0.4520711801415517,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,8,0.3768606870456451,0.23142489139527003,0.4729470702902963,0.4797642557948449,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,9,0.45317129748322044,0.3473289416413726,0.5526004111057398,0.4927120924968804,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,10,0.3955755553492713,0.324593433406059,0.4612892551068906,0.5134218390477215,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,11,0.4503116963348244,0.4070593102705353,0.5070744599970458,0.5252636686228584,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,12,0.4359871580507157,0.3770854022514076,0.4750385957638145,0.5358151414125254,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,13,0.4429391685088608,0.37559842530730425,0.4813353444892132,0.5458032889521295,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,14,0.46453360444658165,0.4270884547196983,0.5143979179812121,0.5592473573315738,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,15,0.44819451762061174,0.3977155298813788,0.49485427321104125,0.5652592576000034,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,16,0.4336225992268005,0.3884553995855905,0.4744190580945384,0.5749871359290115,0.6923076923076923
gap2.0_moderate_lean,main,2.0,moderate,lean,1,0.4498433932211213,0.4105995962415847,0.48434290272988606,0.10000000000000002,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,2,0.47997993283261314,0.419127739230056,0.5452798292037196,0.2601908726648657,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,3,0.3836725398873659,0.28485486182250885,0.4483662981490261,0.36220952347453406,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,4,0.4085313192747333,0.28578457544512464,0.5022137405273763,0.45618104795116904,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,5,0.4242336785520938,0.36020816820529894,0.4714327129919679,0.5191454403110911,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,6,0.4039302563395428,0.28630770519233695,0.4791292330391631,0.5432067209212883,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,7,0.442663322342961,0.40553486779522485,0.4803818727091117,0.5691088183521491,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,8,0.3525909489372597,0.1983730302866072,0.4787138246953329,0.5999292165168384,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,9,0.4591860459259898,0.3741995335339367,0.5488598665947688,0.6143994477334934,0.7999999999999999
