condition,kind,gap,rep_strength,info_level,flip_model,flip_bayes,lag,anchor_lambda,final_lambda,oracle,mean_overtrust,rmse
gap1.5_moderate_lean,main,1.5,moderate,lean,25,9,16,0.4899365153298035,0.45273707203644076,0.6923076923076923,0.07127894515292038,12.414670515531858
gap2.0_moderate_lean,main,2.0,moderate,lean,1,6,-5,0.500706357322588,0.46671824857265687,0.7999999999999999,0.18169260936376713,15.168714454249198
gap3.0_moderate_lean,main,3.0,moderate,lean,5,4,1,0.48405905710891844,0.5163846740911748,0.9,0.2886711007993127,21.646991187843483
gap5.0_moderate_lean,main,5.0,moderate,lean,4,2,2,0.4882537503310594,0.5472637172743462,0.9615384615384616,0.36222337185873144,35.759702096185734
gap2.0_faint_lean,rep,2.0,faint,lean,1,6,-5,0.500706357322588,0.4873916904767539,0.7999999999999999,0.17765287666875917,15.611158161252648
gap2.0_strong_lean,rep,2.0,strong,lean,,6,,0.4366435502391026,0.3968869029813104,0.7999999999999999,0.29559465855287625,18.29779125113137
gap2.0_moderate_self_history,info,2.0,moderate,self_history,1,6,-5,0.500706357322588,0.46961214145029023,0.7999999999999999,0.172856712916668,15.024049780557663
gap2.0_moderate_summary,info,2.0,moderate,summary,1,6,-5,0.500706357322588,0.4424112770369748,0.7999999999999999,0.1837211241248815,21.012235399189098
gap2.0_moderate_full,info,2.0,moderate,full,1,6,-5,0.500706357322588,0.44809458234476884,0.7999999999999999,0.17916102916692225,15.027084300503747
gap2.0_robust_swaplabels,robust,2.0,moderate,lean,1,6,-5,0.5201920451128,0.4875773193206265,0.7999999999999999,0.12610613730369122,15.180820137333544
gap2.0_robust_order,robust,2.0,moderate,lean,4,6,-2,0.48726642140192444,0.4588506664981888,0.7999999999999999,0.13333528147727736,15.668766108025492
gap2.0_robust_paraphrase,robust,2.0,moderate,lean,14,6,8,0.4831087962762786,0.43315593780409783,0.7999999999999999,0.19331279933271223,15.42855539957898
gap2.0_moderate_no_advisor,sanity,2.0,moderate,no_advisor,,,,,,,,136.4004380498322
