condition,kind,gap,rep_strength,info_level,round,lambda_hat,lambda_lo,lambda_hi,bayes_w,oracle
gap1.5_moderate_lean,main,1.5,moderate,lean,1,0.4899365153298035,0.4652749031045202,0.5044845135286274,0.10000000000000002,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,2,0.33201970756792437,0.20198706618401197,0.43131589508173207,0.21336958479882934,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,3,0.46408177464047845,0.419274560516783,0.5061619264384977,0.28014612144673495,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,4,0.45449459624934035,0.4121808607120698,0.4905034054370636,0.32926377982706867,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,5,0.4845606811027931,0.39217452883296916,0.5798348341903817,0.3788771528099749,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,6,0.3656346989244426,0.24947883398695375,0.4595401552126419,0.42419015926907433,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,7,0.4346400050214877,0.37456426062368686,0.48083377123008114,0.45533452670633956,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,8,0.4508502949217597,0.37091424856287847,0.5345283456123227,0.4816179710993689,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,9,0.43814678409755176,0.3904185831427942,0.4784196045730498,0.5074996924982058,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,10,0.4813028184024798,0.41744414910153205,0.5340886176772676,0.5269571113534112,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,11,0.42403395923734694,0.34088661849321045,0.4837244212241343,0.5359838309009095,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,12,0.43142060664620613,0.39169373117503553,0.4703184319912068,0.5489733356526157,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,13,0.4491712718912857,0.36530369186691697,0.5140939885554858,0.5570709907382073,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,14,0.45992872956792225,0.3701262859926059,0.5172094380557865,0.5631875772822041,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,15,0.4255344137762185,0.3639734793124183,0.4741830001374495,0.5677024593515674,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,16,0.41964999130988173,0.3305613092514092,0.48543373861706995,0.5738049795508482,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,17,0.46711076823805014,0.43325083993828345,0.48934053048415477,0.579618267742332,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,18,0.4322488736794195,0.3584448252498419,0.510850473336243,0.5867434945598485,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,19,0.4694715738539546,0.40534396088246505,0.5210391632481859,0.5905228714444275,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,20,0.4748508555009627,0.4165244235534347,0.5296177405398796,0.5945044249715157,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,21,0.48637496171953065,0.42598585477123624,0.536266446491648,0.5945687773400071,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,22,0.48645986330399277,0.41104168131292573,0.5742341526245578,0.5997585405765538,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,23,0.482731653012247,0.4377970515899513,0.5354559398153264,0.6050675138935597,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,24,0.4607692968202217,0.3870343510073133,0.5281181324155867,0.6080048389515569,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,25,0.5055185628780193,0.4033898426488107,0.634302401963748,0.6137527785804846,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,26,0.519504683495286,0.4681153988987958,0.5624498866525514,0.6182943574396728,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,27,0.4718951497725833,0.43854124762675867,0.5048507821903576,0.6200350470700956,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,28,0.47252380937495025,0.4428380465243347,0.5050603867908843,0.6247825452743314,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,29,0.4340400660911794,0.3194716722990429,0.5527118669288911,0.626263660252908,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,30,0.46564253577617903,0.4254567846463573,0.5036080196041078,0.6301331131545573,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,31,0.48144910209615477,0.4563932088660419,0.5027340415066285,0.6355108485142626,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,32,0.41111957823698864,0.34641067321579017,0.46515801775742943,0.6365040743786209,0.6923076923076923
gap2.0_moderate_lean,main,2.0,moderate,lean,1,0.500706357322588,0.4979343588482694,0.5035900411462189,0.10000000000000002,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,2,0.4263960452607957,0.286243060002392,0.5213573783298568,0.2561824199719177,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,3,0.388668014725642,0.3014561782291833,0.4619231507034338,0.3483291412387347,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,4,0.4958655065887685,0.4522950239777335,0.5417697140778532,0.415189255719649,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,5,0.4424704564113851,0.39740081924025306,0.4876504956908933,0.4811532689711152,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,6,0.3938426611748255,0.2363919415016,0.5174501305055913,0.5369863912636914,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,7,0.37295609149795067,0.26220176718520183,0.47478509385949436,0.5717805888590287,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,8,0.4329862674089764,0.3722836589737213,0.48608524455989777,0.6004090044446749,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,9,0.4431279055865111,0.3944390656054886,0.4910543008352753,0.6275131046290483,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,10,0.4741152142360932,0.40301343312730886,0.5355507703224662,0.6479961637514361,0.7999999999999999
