condition,kind,gap,rep_strength,info_level,flip_model,flip_bayes,lag,anchor_lambda,final_lambda,oracle,mean_overtrust,rmse
gap1.5_moderate_lean,main,1.5,moderate,lean,5,9,-4,0.49301861728688684,0.4297027247298622,0.6923076923076923,0.1055336051685304,12.16182964537273
gap2.0_moderate_lean,main,2.0,moderate,lean,5,6,-1,0.4869090135795241,0.4420689523099625,0.7999999999999999,0.20727813446221055,15.348437527053608
gap3.0_moderate_lean,main,3.0,moderate,lean,11,4,7,0.4970363879174785,0.47551807275089136,0.9,0.32132077261748904,21.763868518719978
gap5.0_moderate_lean,main,5.0,moderate,lean,4,2,2,0.43860519139701415,0.5769324217324876,0.9615384615384616,0.3755026641849002,33.84430320273915
gap2.0_faint_lean,rep,2.0,faint,lean,10,6,4,0.4869090135795241,0.46403472142446667,0.7999999999999999,0.18993772043147022,14.902045464676652
gap2.0_strong_lean,rep,2.0,strong,lean,26,6,20,0.48512020650191,0.45228584197736366,0.7999999999999999,0.2288112196735996,15.659448257552867
gap2.0_moderate_self_history,info,2.0,moderate,self_history,5,6,-1,0.4869090135795241,0.44774634509536854,0.7999999999999999,0.1906887305860394,14.940435751714961
gap2.0_moderate_summary,info,2.0,moderate,summary,,6,,0.4869090135795241,0.4469434679375654,0.7999999999999999,0.24337036744977342,16.173898621381124
gap2.0_moderate_full,info,2.0,moderate,full,5,6,-1,0.4869090135795241,0.45748625632764556,0.7999999999999999,0.19650016212511684,15.099453002968573
gap2.0_robust_swaplabels,robust,2.0,moderate,lean,3,6,-3,0.4780665922589686,0.46097038490229286,0.7999999999999999,0.20086027311412916,15.395948507243347
gap2.0_robust_order,robust,2.0,moderate,lean,1,6,-5,0.5005574087546497,0.5426582463421358,0.7999999999999999,0.14595948713719192,14.379948567117038
gap2.0_robust_paraphrase,robust,2.0,moderate,lean,10,6,4,0.47230198244640353,0.34794958750047006,0.7999999999999999,0.28935509790907515,17.131505872895573
gap2.0_moderate_no_advisor,sanity,2.0,moderate,no_advisor,,,,,,,,129.4893026705147
