condition,kind,gap,rep_strength,info_level,round,lambda_hat,lambda_lo,lambda_hi,bayes_w,oracle
gap1.5_moderate_lean,main,1.5,moderate,lean,1,0.49301861728688684,0.4834373009970714,0.5003232051645309,0.10000000000000002,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,2,0.40837303288303095,0.2704441974443343,0.5245046905895847,0.21336958479882934,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,3,0.3865844733159083,0.2976511785905224,0.46267995343672996,0.28014612144673495,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,4,0.4524321672220583,0.4155672603488932,0.4892048433463532,0.32926377982706867,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,5,0.5142193437751078,0.44047937317075964,0.6004317596920976,0.3788771528099749,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,6,0.4553495300213577,0.3998811382672852,0.503945390034155,0.42419015926907433,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,7,0.44050845890951373,0.37243909608196074,0.49379331408016863,0.45533452670633956,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,8,0.36788916363534657,0.313992857932579,0.4244419699179366,0.4816179710993689,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,9,0.39681495620837776,0.3348710147998534,0.46264780970003583,0.5074996924982058,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,10,0.48022948729725734,0.3899327907893254,0.5683725980860589,0.5269571113534112,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,11,0.5122685413567326,0.43422167749542534,0.5850044208567212,0.5359838309009095,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,12,0.39724367734131416,0.3594281163377747,0.435887946918798,0.5489733356526157,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,13,0.35582362931519684,0.28708832822256464,0.44100838657611363,0.5570709907382073,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,14,0.33792764266272923,0.24359519955433473,0.4334410102646515,0.5631875772822041,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,15,0.40053147454478677,0.34665972801927647,0.46035517902383377,0.5677024593515674,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,16,0.3044705859632558,0.20533151296652047,0.41385457936031184,0.5738049795508482,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,17,0.40680104592050464,0.2962656676889882,0.4882327850958313,0.579618267742332,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,18,0.42370376559813416,0.3655485358375355,0.4795755773384537,0.5867434945598485,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,19,0.47598482063238984,0.41826151542651424,0.5199283391547913,0.5905228714444275,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,20,0.41317296773775014,0.32984082308345986,0.49873632020871306,0.5945044249715157,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,21,0.46087829543775694,0.43299859589222484,0.48561253503580354,0.5945687773400071,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,22,0.35398825786827515,0.20012050526517866,0.5303327374175189,0.5997585405765538,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,23,0.4238759371818267,0.35272147971028667,0.48130973662341614,0.6050675138935597,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,24,0.36850451065830475,0.251847289246976,0.47779578214265783,0.6080048389515569,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,25,0.35870453696314886,0.20852796569063825,0.4798062002985147,0.6137527785804846,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,26,0.4638800351801677,0.41779828608172814,0.5013619002831002,0.6182943574396728,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,27,0.4377130779048356,0.3972074150854853,0.48736936590530283,0.6200350470700956,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,28,0.4168877544852901,0.36602445807102424,0.4664948392762749,0.6247825452743314,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,29,0.4340811005402897,0.3809392013047205,0.46994303887107985,0.626263660252908,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,30,0.43027690769780985,0.3950752136245567,0.461098087088597,0.6301331131545573,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,31,0.4224997291817528,0.37558362300364045,0.4645734623132709,0.6355108485142626,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,32,0.436331537310024,0.40212178154842654,0.4679887595071191,0.6365040743786209,0.6923076923076923
gap2.0_moderate_lean,main,2.0,moderate,lean,1,0.4869090135795241,0.46358175876244606,0.503905923773787,0.10000000000000002,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,2,0.32857764882842083,0.20886348578196692,0.4549697835087793,0.2561824199719177,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,3,0.41957680941646824,0.3422612021599455,0.48077799643857616,0.3483291412387347,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,4,0.42703857835585507,0.3395777816393775,0.5015997284142727,0.415189255719649,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,5,0.5034030413648088,0.4366981127777589,0.5957142899646397,0.4811532689711152,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,6,0.3904185044475918,0.31568356762753796,0.45669680317305,0.5369863912636914,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,7,0.3989282665196871,0.32343211731549754,0.4821225421001365,0.5717805888590287,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,8,0.371493273484731,0.2989880248345838,0.4423549495199981,0.6004090044446749,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,9,0.367448009146326,0.25116542978878975,0.48101796461067164,0.6275131046290483,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,10,0.4974179416794466,0.40455206063435994,0.5873821058386277,0.6479961637514361,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,11,0.495372144124462,0.43133448820694165,0.5534220774475188,0.6578430683033762,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,12,0.3898079273425282,0.3121659994497778,0.45187964728342783,0.670414824896609,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,13,0.38357280808107164,0.3175710216710463,0.46260553207088045,0.6785286425063164,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,14,0.4008633029201838,0.3029509754656876,0.4938528438532033,0.6843886703863626,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,15,0.4304775744259518,0.3741372137883941,0.4880606905223908,0.6891214988284556,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,16,0.4481116359361006,0.35987092702320445,0.5288087614325049,0.6951803460552843,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,17,0.40041115645420877,0.2902027443258157,0.4914044815391334,0.7006751245912504,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,18,0.41135820515335436,0.32467025995920534,0.48897866091972914,0.70752578265779,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,19,0.48825462564130573,0.43349379347273725,0.5365180721106092,0.7111582595509723,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,20,0.46271196679998156,0.3714381233647532,0.567868618196057,0.7149188826358625,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,21,0.45510732546398985,0.43314780542983367,0.4777587091656397,0.7152017127795021,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,22,0.3917196234735056,0.2542356741955917,0.5449938276530508,0.7201453623146964,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,23,0.4683222440381122,0.40383645596001055,0.5122334970159297,0.7250047747187868,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,24,0.3510061466698401,0.25506466657330384,0.4533865619873239,0.7278375494939505,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,25,0.43973257655971515,0.352891569575973,0.5246583802985103,0.7329200429218161,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,26,0.4988658183034408,0.46350616188082144,0.523274513533864,0.7368602553728714,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,27,0.4160244598419631,0.36195260553349756,0.47021846836164893,0.738391629167158,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,28,0.4287082994643952,0.3731927709126887,0.4820265416706245,0.7424680904807331,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,29,0.4185176932969341,0.32810332589375263,0.5034586749272301,0.743910609585148,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,30,0.47762573479497455,0.3729593490183801,0.5801981951964802,0.7471401556531986,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,31,0.4423666362973508,0.3453383380960148,0.5015199976412457,0.7516064189381517,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,32,0.40621448583756226,0.2608360170395329,0.4888328330145771,0.7524827398469413,0.7999999999999999
gap3.0_moderate_lean,main,3.0,moderate,lean,1,0.4970363879174785,0.48843524028245155,0.5031784303403755,0.10000000000000002,0.9
