condition,kind,gap,rep_strength,info_level,flip_model,flip_bayes,lag,anchor_lambda,final_lambda,oracle,mean_overtrust,rmse
gap1.5_moderate_lean,main,1.5,moderate,lean,,9,,0.25334151026686796,0.47925437518742037,0.6923076923076923,0.08927294743119772,11.675196722693926
gap2.0_moderate_lean,main,2.0,moderate,lean,10,6,4,0.1622716927516602,0.5063610737258779,0.7999999999999999,0.17524491826781244,14.482397760841351
gap3.0_moderate_lean,main,3.0,moderate,lean,8,4,4,0.24417081589782316,0.5522698317598601,0.9,0.2595848459996439,19.78726005988816
gap5.0_moderate_lean,main,5.0,moderate,lean,4,2,2,0.286876535660139,0.6645644363561236,0.9615384615384616,0.29226741107876764,29.26351575378566
gap2.0_faint_lean,rep,2.0,faint,lean,10,6,4,0.1622716927516602,0.5180929211004748,0.7999999999999999,0.15202157441839453,14.033559496130565
gap2.0_strong_lean,rep,2.0,strong,lean,,6,,0.00023384189266576562,0.3861622716144797,0.7999999999999999,0.24386936762952244,15.849139556562307
gap2.0_moderate_self_history,info,2.0,moderate,self_history,,6,,0.1622716927516602,0.4424476174427425,0.7999999999999999,0.22607666549609473,15.32957309281964
gap2.0_moderate_summary,info,2.0,moderate,summary,2,6,-4,0.1622716927516602,0.5987454707998267,0.7999999999999999,0.09425827445421718,13.254811782060074
gap2.0_moderate_full,info,2.0,moderate,full,6,6,0,0.1622716927516602,0.5321343886309511,0.7999999999999999,0.14473829377020664,13.940054334639083
gap2.0_robust_swaplabels,robust,2.0,moderate,lean,5,6,-1,0.3655523927189213,0.5158891180614574,0.7999999999999999,0.12147765248941915,13.549610049955518
gap2.0_robust_order,robust,2.0,moderate,lean,5,6,-1,0.10690078539529965,0.5276765864072834,0.7999999999999999,0.13326380981179203,14.006390933935897
gap2.0_robust_paraphrase,robust,2.0,moderate,lean,10,6,4,0.48744738380720115,0.5218796744705972,0.7999999999999999,0.1456746537085667,13.882985053754089
gap2.0_moderate_no_advisor,sanity,2.0,moderate,no_advisor,,,,,,,,132.0174545862388
