condition,kind,gap,rep_strength,info_level,round,lambda_hat,lambda_lo,lambda_hi,bayes_w,oracle
gap1.5_moderate_lean,main,1.5,moderate,lean,1,0.25334151026686796,0.11179918836154946,0.3800442384726036,0.10000000000000002,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,2,0.3423868512839166,0.2431512872181413,0.46026027010606013,0.21336958479882934,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,3,0.3543777733488477,0.2590144220838792,0.435629154095206,0.28014612144673495,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,4,0.41736380900616665,0.3323440151638426,0.48322512318101213,0.32926377982706867,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,5,0.43657106077788366,0.35988416066699014,0.543182947819538,0.3788771528099749,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,6,0.4582073788881006,0.3979474580593083,0.5036497579948458,0.42419015926907433,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,7,0.4130157772698843,0.3624109778313645,0.4521350302607345,0.45533452670633956,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,8,0.45434250177743235,0.41910474704202305,0.4964614900058274,0.4816179710993689,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,9,0.39742260409835456,0.3254752895076823,0.4876145122360325,0.5074996924982058,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,10,0.460899068918423,0.39752684818822537,0.5231857228991055,0.5269571113534112,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,11,0.4577133365001092,0.38983067415975825,0.5224252093888785,0.5359838309009095,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,12,0.45126090750405445,0.4037085736929116,0.49519274477371084,0.5489733356526157,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,13,0.42298523642260255,0.3495207848922336,0.5166707184215783,0.5570709907382073,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,14,0.4434639651060256,0.38921683732178103,0.48614701145564715,0.5631875772822041,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,15,0.46398512739188863,0.4215838051004949,0.5032146341337318,0.5677024593515674,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,16,0.38502360520423573,0.3211440342637746,0.4506621541060617,0.5738049795508482,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,17,0.4762111598528752,0.4363620505875361,0.5221240387785538,0.579618267742332,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,18,0.3615505817374458,0.2503548346505357,0.47874149352291057,0.5867434945598485,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,19,0.45770606490696003,0.4137656241735193,0.5033029482714769,0.5905228714444275,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,20,0.4539778189605853,0.3908632747620113,0.5224427644726921,0.5945044249715157,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,21,0.4684985298980942,0.434293290618428,0.5001597861335236,0.5945687773400071,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,22,0.4758139498517941,0.41872600669925913,0.5514946550730224,0.5997585405765538,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,23,0.4506748341936503,0.4061558546080149,0.4922143609180492,0.6050675138935597,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,24,0.4194572572014714,0.38592012021089556,0.4592716459668051,0.6080048389515569,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,25,0.48529704569576076,0.4393471818389765,0.5286546485469006,0.6137527785804846,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,26,0.4746688127953357,0.4382437319039631,0.5110488851237424,0.6182943574396728,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,27,0.466771228613555,0.4173768563957413,0.5055888650859364,0.6200350470700956,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,28,0.4225039811737826,0.34259976575769097,0.4997902593648042,0.6247825452743314,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,29,0.488055205423402,0.43179573440766716,0.537744568116909,0.626263660252908,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,30,0.49369259039305435,0.43124010845491684,0.547134151421176,0.6301331131545573,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,31,0.4708264794909455,0.4374696059511633,0.5048071967251291,0.6355108485142626,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,32,0.4732440556782614,0.43932580621781814,0.505822639897104,0.6365040743786209,0.6923076923076923
gap2.0_moderate_lean,main,2.0,moderate,lean,1,0.1622716927516602,0.003829865773869347,0.3024332266284815,0.10000000000000002,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,2,0.40412046997349765,0.2902590919166377,0.5374496585721359,0.2561824199719177,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,3,0.3769928457880421,0.31861474208576174,0.43165084633592105,0.3483291412387347,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,4,0.44251068467186966,0.35854339835539506,0.5029105350020888,0.415189255719649,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,5,0.423427121018935,0.3482053894780251,0.5299779695499134,0.4811532689711152,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,6,0.45634234442091726,0.404811209876492,0.5022506590810824,0.5369863912636914,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,7,0.422873539174141,0.37958376337364297,0.4668010789705467,0.5717805888590287,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,8,0.46659583994477305,0.42054753768414915,0.5105560976358382,0.6004090044446749,0.7999999999999999
