condition,kind,gap,rep_strength,info_level,flip_model,flip_bayes,lag,anchor_lambda,final_lambda,oracle,mean_overtrust,rmse
gap1.5_moderate_lean,main,1.5,moderate,lean,2,9,-7,0.3832661324492732,0.5290891162739721,0.6923076923076923,1.469435998916948e+35,7.889249649664199e+37
gap2.0_moderate_lean,main,2.0,moderate,lean,2,6,-4,0.3864336736505557,0.5884022468505066,0.7999999999999999,0.0479478838919971,20.07884722705447
gap3.0_moderate_lean,main,3.0,moderate,lean,2,4,-2,0.4068557185155633,0.6620520269917147,0.9,0.11221477328535585,35.69565073326319
gap5.0_moderate_lean,main,5.0,moderate,lean,2,2,0,0.43100941294084133,0.7401629592699686,0.9615384615384616,2.1491604423598365,6538.491894636562
gap2.0_faint_lean,rep,2.0,faint,lean,2,6,-4,0.39852850382857297,0.5886790999413161,0.7999999999999999,0.06610223092186003,20.3404328572906
gap2.0_strong_lean,rep,2.0,strong,lean,2,6,-4,0.23750405247932774,0.5774660583060199,0.7999999999999999,-0.06613534669516825,88.40327467871258
gap2.0_moderate_self_history,info,2.0,moderate,self_history,2,6,-4,0.41998875433716665,0.621425374940978,0.7999999999999999,0.02787194405493016,inf
gap2.0_moderate_summary,info,2.0,moderate,summary,2,6,-4,0.3753701630918647,0.7874146931119618,0.7999999999999999,-0.08853536804764658,24.033279735468348
gap2.0_moderate_full,info,2.0,moderate,full,2,6,-4,0.416082279882064,0.806343449241726,0.7999999999999999,-0.1155151206708361,18.072138510172422
gap2.0_robust_swaplabels,robust,2.0,moderate,lean,2,6,-4,0.33380937318037923,0.752983347117195,0.7999999999999999,-1725054497950.1194,1252720283266809.5
gap2.0_robust_order,robust,2.0,moderate,lean,2,6,-4,0.4561454442384365,0.744486650754137,0.7999999999999999,-0.12591108051505348,11.512037076579798
gap2.0_robust_paraphrase,robust,2.0,moderate,lean,2,6,-4,0.17800040854055424,0.4869994772390734,0.7999999999999999,-9.120594500614997,7047.98630452075
gap2.0_moderate_no_advisor,sanity,2.0,moderate,no_advisor,,,,,,,,127.42689748815845
