condition,kind,gap,rep_strength,info_level,round,lambda_hat,lambda_lo,lambda_hi,bayes_w,oracle
gap1.5_moderate_lean,main,1.5,moderate,lean,1,0.3832661324492732,0.33296817527403627,0.44416601631945696,0.10000000000000002,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,2,0.6045360778031966,0.4621917411160974,0.7060256056016,0.21336958479882934,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,3,0.5073135048411407,0.39538819393111135,0.6134564998414859,0.28014612144673495,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,4,0.5300256892731036,0.42788368471520205,0.6422705899070709,0.32926377982706867,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,5,0.44233087258963844,0.24865094053257447,0.642671132231917,0.3788771528099749,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,6,0.6193908182159187,0.4616373565937597,0.73960106788687,0.42419015926907433,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,7,0.6091679130979479,0.5170446128269155,0.683750369262233,0.45533452670633956,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,8,0.5297277434261138,0.38843299866296044,0.6628213633117751,0.4816179710993689,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,9,0.48776305590757746,0.37063857654254184,0.6398067837191181,0.5074996924982058,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,10,-4.702195196534234e+36,-1.9208891284455563e+37,0.5995748532891306,0.5269571113534112,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,11,0.47100687859384566,0.40162180387320323,0.5449732913127304,0.5359838309009095,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,12,0.4953087299807242,0.3848336581756836,0.5938690341624924,0.5489733356526157,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,13,0.5366451732087049,0.43405869139033804,0.626308910798664,0.5570709907382073,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,14,0.44727587169973704,0.35793618675752664,0.5377850764087165,0.5631875772822041,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,15,0.5311635519769398,0.4598893181336327,0.59860826514188,0.5677024593515674,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,16,0.5354466209470855,0.45048665984639436,0.6338144777237931,0.5738049795508482,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,17,-0.5674630153480764,-2.1534477409193626,0.4831344228060535,0.579618267742332,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,18,0.47972193737997637,0.398591447680205,0.5486993184652338,0.5867434945598485,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,19,0.4949581833457894,0.4360031330864497,0.542073833132565,0.5905228714444275,0.6923076923076923
