condition,kind,gap,rep_strength,info_level,round,lambda_hat,lambda_lo,lambda_hi,bayes_w,oracle
gap1.5_moderate_lean,main,1.5,moderate,lean,1,0.24171772763733657,0.21981313571877611,0.2659353217939134,0.10000000000000002,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,2,0.5380814042724756,0.40133952054824196,0.7278916240558495,0.2151455445654912,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,3,0.6176122929438654,0.5505460370715817,0.6705404958713472,0.28860559395897406,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,4,0.6653978581525981,0.6050849413023127,0.6965041854859026,0.36032864683772614,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,5,0.6144360543677315,0.5596326070388132,0.6755971564744453,0.4108113161694996,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,6,0.5333351062290227,0.4242903005396474,0.659416857494634,0.43000866848896446,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,7,-0.1166016088909354,-2.174030002087328,0.6854462847049758,0.4520711801415517,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,8,0.6154370001751763,0.5722015968471839,0.6656587485322899,0.4797642557948449,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,9,0.5900886733468024,0.5356390225230411,0.6475802437300993,0.4927120924968804,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,10,0.61274889347818,0.5374753360524571,0.6911462756486635,0.5134218390477215,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,11,0.5904651109038246,0.523547796301456,0.6468155610159262,0.5252636686228584,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,12,0.6462755544316979,0.59323555291525,0.6906937794663774,0.5358151414125254,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,13,-0.5757230218654383,-4.45992045341036,0.6687864698694177,0.5458032889521295,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,14,0.605096151483059,0.5314691325900396,0.6535542029648387,0.5592473573315738,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,15,0.5656209849269009,0.5200712506800488,0.6197472733643391,0.5652592576000034,0.6923076923076923
gap1.5_moderate_lean,main,1.5,moderate,lean,16,0.5946542064042396,0.5539991024346592,0.6352725155410548,0.5749871359290115,0.6923076923076923
gap2.0_moderate_lean,main,2.0,moderate,lean,1,0.25218405729499105,0.23523324064522905,0.2732514797169119,0.10000000000000002,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,2,0.6059994149621439,0.4804920292475312,0.7586962884436116,0.2601908726648657,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,3,0.6827628961008492,0.6156442080694547,0.7510600617908547,0.36220952347453406,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,4,0.7325148689133112,0.6607991628085478,0.7959660842330054,0.45618104795116904,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,5,0.6056870603016005,0.407365782886632,0.7968753916253571,0.5191454403110911,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,6,4.039340004781162,0.5348116092886315,9.972181012470012,0.5432067209212883,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,7,27.925114036560696,-128.1999253689958,176.30961530418108,0.5691088183521491,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,8,0.6590525494386722,0.6042453421036821,0.7053874683025887,0.5999292165168384,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,9,0.6849134460376982,0.6383977066342155,0.727384202073962,0.6143994477334934,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,10,0.6361405541439802,0.5663439917850909,0.7003870974451593,0.6356728228110262,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,11,0.6786554941199326,0.6377453153209521,0.7155396305922421,0.6480373831307762,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,12,-16.597614057878868,-155.3814798977331,101.07703137353194,0.65848942920378,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,13,0.6409929404470287,0.5435123746050713,0.7262722658414259,0.6685936251949471,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,14,0.675236498417303,0.6469181763021884,0.7035884406750171,0.6816406925572515,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,15,0.6389402113761681,0.575414360140231,0.7003531750472316,0.6875483373562977,0.7999999999999999
gap2.0_moderate_lean,main,2.0,moderate,lean,16,0.6649297751282366,0.6190211275542932,0.703473397188591,0.6965826087816402,0.7999999999999999
gap3.0_moderate_lean,main,3.0,moderate,lean,1,0.23848219870913226,0.21084105379703624,0.2638828548728832,0.10000000000000002,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,2,0.7182598773325969,0.6565549865032252,0.7903956931962116,0.359929133067031,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,3,0.8120910098226493,0.7820071259135339,0.8460949330172812,0.5045672164124644,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,4,0.7883830395199408,0.7485245314826139,0.8249621387273604,0.6164774267800078,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,5,0.7251647851170262,0.6321507448290049,0.8085864092017935,0.6829756597844625,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,6,0.7442842219675441,0.6883318487963014,0.8068199322040165,0.7072697814471784,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,7,0.7947700646580269,0.7357368955316356,0.8376481976361723,0.7314198438625421,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,8,0.7340179725289551,0.6793646650156653,0.7905879443622769,0.7582544658191073,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,9,0.7272150043763971,0.6819471045911297,0.7668424893342412,0.7705447756400219,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,10,0.6878557142786205,0.6418898583491403,0.7421182126419356,0.7872298798978214,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,11,0.7197039722271606,0.6520166538665345,0.7734952463639155,0.7969904838434154,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,12,0.7519242474384694,0.7082557998606152,0.7895156948294075,0.8047861845838176,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,13,0.7352415193624044,0.6994818107023995,0.7721826172046675,0.8125034609183637,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,14,0.6988025378662244,0.6534244775942858,0.7304190980773118,0.8220831609077528,0.9
gap3.0_moderate_lean,main,3.0,moderate,lean,15,0.6681700332452376,0.5858156103853872,0.7438823926531973,0.8263845207985726,0.9
